X,Y,Z,Label
0.0,-1.014,900.173,CL
0.2,-0.958,900.176,CL
0.4,-0.901,900.178,CL
0.6,-0.846,900.181,CL
0.8,-0.79,900.183,CL
1.0,-0.735,900.185,CL
1.2,-0.681,900.128,CL
1.4,-0.627,900.125,CL
1.6,-0.573,900.122,CL
1.8,-0.52,900.118,CL
2.0,-0.468,900.115,CL
2.2,-0.417,900.111,CL
2.4,-0.366,900.107,CL
2.6,-0.316,900.104,CL
2.8,-0.267,900.1,CL
3.0,-0.219,900.098,CL
3.2,-0.172,900.097,CL
3.4,-0.126,900.097,CL
3.6,-0.081,900.096,CL
3.8,-0.037,900.095,CL
4.0,0.005,900.094,CL
4.2,0.047,900.092,CL
4.4,0.087,900.091,CL
4.6,0.127,900.089,CL
4.8,0.164,900.088,CL
5.0,0.201,900.086,CL
5.2,0.236,900.048,CL
5.4,0.27,900.044,CL
5.6,0.303,900.04,CL
5.8,0.334,900.035,CL
6.0,0.364,900.031,CL
6.2,0.392,900.027,CL
6.4,0.419,900.022,CL
6.6,0.444,900.018,CL
6.8,0.468,900.013,CL
7.0,0.491,900.009,CL
7.2,0.511,900.004,CL
7.4,0.531,899.999,CL
7.6,0.548,899.995,CL
7.8,0.565,899.99,CL
8.0,0.579,899.985,CL
8.2,0.593,899.98,CL
8.4,0.604,899.975,CL
8.6,0.614,899.97,CL
8.8,0.623,899.965,CL
9.0,0.63,899.96,CL
9.2,0.635,899.955,CL
9.4,0.64,899.95,CL
9.6,0.642,899.944,CL
9.8,0.643,899.938,CL
10.0,0.643,899.933,CL
10.2,0.641,899.928,CL
10.4,0.637,899.922,CL
10.6,0.633,899.917,CL
10.8,0.627,899.911,CL
11.0,0.619,899.906,CL
11.2,0.61,899.901,CL
11.4,0.6,899.895,CL
11.6,0.589,899.89,CL
11.8,0.576,899.884,CL
12.0,0.562,899.878,CL
12.2,0.547,899.872,CL
12.4,0.53,899.866,CL
12.6,0.513,899.86,CL
12.8,0.494,899.854,CL
13.0,0.474,899.848,CL
13.2,0.454,899.842,CL
13.4,0.432,899.836,CL
13.6,0.409,899.83,CL
13.8,0.386,899.824,CL
14.0,0.361,899.818,CL
14.2,0.336,899.812,CL
14.4,0.309,899.806,CL
14.6,0.282,899.8,CL
14.8,0.255,899.794,CL
15.0,0.226,899.788,CL
15.2,0.197,899.782,CL
15.4,0.167,899.776,CL
15.6,0.137,899.77,CL
15.8,0.106,899.764,CL
16.0,0.075,899.774,CL
16.2,0.043,899.77,CL
16.4,0.011,899.766,CL
16.6,-0.022,899.762,CL
16.8,-0.055,899.758,CL
17.0,-0.088,899.755,CL
17.2,-0.122,899.751,CL
17.4,-0.156,899.748,CL
17.6,-0.19,899.744,CL
17.8,-0.224,899.741,CL
18.0,-0.258,899.738,CL
18.2,-0.293,899.735,CL
18.4,-0.327,899.732,CL
18.6,-0.362,899.729,CL
18.8,-0.396,899.723,CL
19.0,-0.431,899.717,CL
19.2,-0.465,899.711,CL
19.4,-0.5,899.705,CL
19.6,-0.534,899.7,CL
19.8,-0.568,899.694,CL
20.0,-0.602,899.688,CL
20.2,-0.636,899.683,CL
20.4,-0.669,899.677,CL
20.6,-0.703,899.672,CL
20.8,-0.736,899.667,CL
21.0,-0.768,899.662,CL
21.2,-0.801,899.657,CL
21.4,-0.833,899.697,CL
21.6,-0.865,899.696,CL
21.8,-0.896,899.696,CL
22.0,-0.928,899.695,CL
22.2,-0.958,899.695,CL
22.4,-0.989,899.695,CL
22.6,-1.019,899.694,CL
22.8,-1.048,899.694,CL
23.0,-1.078,899.694,CL
23.2,-1.106,899.694,CL
23.4,-1.135,899.694,CL
23.6,-1.163,899.694,CL
23.8,-1.19,899.694,CL
24.0,-1.217,899.694,CL
24.2,-1.244,899.695,CL
24.4,-1.27,899.695,CL
24.6,-1.295,899.695,CL
24.8,-1.321,899.691,CL
25.0,-1.345,899.688,CL
25.2,-1.37,899.685,CL
25.4,-1.394,899.682,CL
25.6,-1.417,899.679,CL
