,X,Y,Z,Label
0,100.0,98.986,1000.173,CL
1,100.2,99.042,1000.176,CL
2,100.4,99.099,1000.178,CL
3,100.6,99.154,1000.181,CL
4,100.8,99.21,1000.183,CL
5,101.0,99.265,1000.185,CL
6,101.2,99.319,1000.128,CL
7,101.4,99.373,1000.125,CL
8,101.6,99.427,1000.122,CL
9,101.8,99.48,1000.118,CL
10,102.0,99.532,1000.115,CL
11,102.2,99.583,1000.111,CL
12,102.4,99.634,1000.107,CL
13,102.6,99.684,1000.104,CL
14,102.8,99.733,1000.1,CL
15,103.0,99.781,1000.098,CL
16,103.2,99.828,1000.097,CL
17,103.4,99.874,1000.097,CL
18,103.6,99.919,1000.096,CL
19,103.8,99.963,1000.095,CL
20,104.0,100.005,1000.094,CL
21,104.2,100.047,1000.092,CL
22,104.4,100.087,1000.091,CL
23,104.6,100.127,1000.089,CL
24,104.8,100.164,1000.088,CL
25,105.0,100.201,1000.086,CL
26,105.2,100.236,1000.048,CL
27,105.4,100.27,1000.044,CL
28,105.6,100.303,1000.04,CL
29,105.8,100.334,1000.035,CL
30,106.0,100.364,1000.031,CL
31,106.2,100.392,1000.027,CL
32,106.4,100.419,1000.022,CL
33,106.6,100.444,1000.018,CL
34,106.8,100.468,1000.013,CL
35,107.0,100.491,1000.009,CL
36,107.2,100.511,1000.004,CL
37,107.4,100.531,999.999,CL
38,107.6,100.548,999.995,CL
39,107.8,100.565,999.99,CL
40,108.0,100.579,999.985,CL
41,108.2,100.593,999.98,CL
42,108.4,100.604,999.975,CL
43,108.6,100.614,999.97,CL
44,108.8,100.623,999.965,CL
45,109.0,100.63,999.96,CL
46,109.2,100.635,999.955,CL
47,109.4,100.64,999.95,CL
48,109.6,100.642,999.944,CL
49,109.8,100.643,999.938,CL
50,110.0,100.643,999.933,CL
51,110.2,100.641,999.928,CL
52,110.4,100.637,999.922,CL
53,110.6,100.633,999.917,CL
54,110.8,100.627,999.911,CL
55,111.0,100.619,999.906,CL
56,111.2,100.61,999.901,CL
57,111.4,100.6,999.895,CL
58,111.6,100.589,999.89,CL
59,111.8,100.576,999.884,CL
60,112.0,100.562,999.878,CL
61,112.2,100.547,999.872,CL
62,112.4,100.53,999.866,CL
63,112.6,100.513,999.86,CL
64,112.8,100.494,999.854,CL
65,113.0,100.474,999.848,CL
66,113.2,100.454,999.842,CL
67,113.4,100.432,999.836,CL
68,113.6,100.409,999.83,CL
69,113.8,100.386,999.824,CL
70,114.0,100.361,999.818,CL
71,114.2,100.336,999.812,CL
72,114.4,100.309,999.806,CL
73,114.6,100.282,999.8,CL
74,114.8,100.255,999.794,CL
75,115.0,100.226,999.788,CL
76,115.2,100.197,999.782,CL
77,115.4,100.167,999.776,CL
78,115.6,100.137,999.77,CL
79,115.8,100.106,999.764,CL
80,116.0,100.075,999.774,CL
81,116.2,100.043,999.77,CL
82,116.4,100.011,999.766,CL
83,116.6,99.978,999.762,CL
84,116.8,99.945,999.758,CL
85,117.0,99.912,999.755,CL
86,117.2,99.878,999.751,CL
87,117.4,99.844,999.748,CL
88,117.6,99.81,999.744,CL
89,117.8,99.776,999.741,CL
90,118.0,99.742,999.738,CL
91,118.2,99.707,999.735,CL
92,118.4,99.673,999.732,CL
93,118.6,99.638,999.729,CL
94,118.8,99.604,999.723,CL
95,119.0,99.569,999.717,CL
96,119.2,99.535,999.711,CL
97,119.4,99.5,999.705,CL
98,119.6,99.466,999.7,CL
99,119.8,99.432,999.694,CL
100,120.0,99.398,999.688,CL
101,120.2,99.364,999.683,CL
102,120.4,99.331,999.677,CL
103,120.6,99.297,999.672,CL
104,120.8,99.264,999.667,CL
105,121.0,99.232,999.662,CL
106,121.2,99.199,999.657,CL
107,121.4,99.167,999.697,CL
108,121.6,99.135,999.696,CL
109,121.8,99.104,999.696,CL
110,122.0,99.072,999.695,CL
111,122.2,99.042,999.695,CL
112,122.4,99.011,999.695,CL
113,122.6,98.981,999.694,CL
114,122.8,98.952,999.694,CL
115,123.0,98.922,999.694,CL
116,123.2,98.894,999.694,CL
117,123.4,98.865,999.694,CL
118,123.6,98.837,999.694,CL
119,123.8,98.81,999.694,CL
120,124.0,98.783,999.694,CL
121,124.2,98.756,999.695,CL
122,124.4,98.73,999.695,CL
123,124.6,98.705,999.695,CL
124,124.8,98.679,999.691,CL
125,125.0,98.655,999.688,CL
126,125.2,98.63,999.685,CL
127,125.4,98.606,999.682,CL
128,125.6,98.583,999.679,CL
129,125.8,98.56,999.676,CL
130,126.0,98.537,999.673,CL
131,126.2,98.515,999.671,CL
132,126.4,98.493,999.668,CL
133,126.6,98.471,999.666,CL
134,126.8,98.45,999.664,CL
135,127.0,98.429,999.662,CL
136,127.2,98.409,999.66,CL
137,127.4,98.389,999.658,CL
138,127.6,98.369,999.656,CL
139,127.8,98.35,999.655,CL
140,128.0,98.331,999.654,CL
141,128.2,98.312,999.652,CL
142,128.4,98.294,999.651,CL
143,128.6,98.276,999.65,CL
144,128.8,98.258,999.649,CL
145,129.0,98.241,999.649,CL
146,129.2,98.223,999.648,CL
147,129.4,98.206,999.723,CL
148,129.6,98.19,999.726,CL
149,129.8,98.173,999.728,CL
150,130.0,98.157,999.731,CL
151,130.2,98.141,999.733,CL
152,130.4,98.125,999.736,CL
153,130.6,98.109,999.739,CL
154,130.8,98.093,999.741,CL
155,131.0,98.078,999.744,CL
156,131.2,98.063,999.747,CL
157,131.4,98.047,999.75,CL
158,131.6,98.032,999.753,CL
159,131.8,98.017,999.756,CL
160,132.0,98.003,999.759,CL
161,132.2,97.988,999.763,CL
162,132.4,97.973,999.766,CL
163,132.6,97.959,999.769,CL
164,132.8,97.944,999.773,CL
165,133.0,97.93,999.776,CL
166,133.2,97.916,999.779,CL
167,133.4,97.901,999.783,CL
168,133.6,97.887,999.787,CL
169,133.8,97.873,999.79,CL
170,134.0,97.859,999.794,CL
171,134.2,97.845,999.798,CL
172,134.4,97.831,999.802,CL
173,134.6,97.81700000000001,999.806,CL
174,134.8,97.804,999.81,CL
175,135.0,97.79,999.814,CL
176,135.2,97.776,999.818,CL
177,135.4,97.762,999.822,CL
178,135.6,97.749,999.826,CL
179,135.8,97.735,999.83,CL
180,136.0,97.722,999.835,CL
181,136.2,97.708,999.839,CL
182,136.4,97.695,999.844,CL
183,136.6,97.682,999.848,CL
184,136.8,97.668,999.853,CL
185,137.0,97.655,999.857,CL
186,137.2,97.642,999.862,CL
187,137.4,97.629,999.866,CL
188,137.6,97.617,999.871,CL
189,137.8,97.604,999.875,CL
190,138.0,97.591,999.878,CL
191,138.2,97.579,999.881,CL
192,138.4,97.566,999.885,CL
193,138.6,97.554,999.888,CL
194,138.8,97.542,999.891,CL
195,139.0,97.53,999.895,CL
196,139.2,97.519,999.898,CL
197,139.4,97.507,999.902,CL
198,139.6,97.496,999.906,CL
199,139.8,97.485,999.909,CL
200,140.0,97.474,999.913,CL
201,140.2,97.463,999.917,CL
202,140.4,97.453,999.921,CL
203,140.6,97.443,999.926,CL
204,140.8,97.43299999999999,999.93,CL
205,141.0,97.423,999.934,CL
206,141.2,97.414,999.938,CL
207,141.4,97.405,999.943,CL
208,141.6,97.396,999.947,CL
209,141.8,97.388,999.952,CL
210,142.0,97.38,999.957,CL
211,142.2,97.372,999.961,CL
212,142.4,97.364,999.966,CL
213,142.6,97.357,999.971,CL
214,142.8,97.35,999.976,CL
215,143.0,97.344,999.981,CL
216,143.2,97.338,999.986,CL
217,143.4,97.332,999.991,CL
218,143.6,97.327,999.996,CL
219,143.8,97.322,1000.001,CL
220,144.0,97.31700000000001,1000.007,CL
221,144.2,97.313,1000.012,CL
222,144.4,97.309,1000.018,CL
223,144.6,97.306,1000.023,CL
224,144.8,97.303,1000.029,CL
225,145.0,97.3,1000.034,CL
226,145.2,97.298,1000.04,CL
227,145.4,97.296,1000.045,CL
228,145.6,97.295,1000.051,CL
229,145.8,97.294,1000.057,CL
230,146.0,97.293,1000.063,CL
231,146.2,97.293,1000.096,CL
232,146.4,97.293,1000.102,CL
233,146.6,97.294,1000.107,CL
234,146.8,97.295,1000.112,CL
235,147.0,97.296,1000.117,CL
236,147.2,97.298,1000.123,CL
237,147.4,97.3,1000.128,CL
238,147.6,97.303,1000.133,CL
239,147.8,97.306,1000.138,CL
240,148.0,97.309,1000.143,CL
241,148.2,97.313,1000.148,CL
242,148.4,97.31700000000001,1000.153,CL
243,148.6,97.321,1000.159,CL
244,148.8,97.325,1000.164,CL
245,149.0,97.33,1000.169,CL
246,149.2,97.336,1000.174,CL
247,149.4,97.341,1000.178,CL
248,149.6,97.347,1000.183,CL
249,149.8,97.353,1000.188,CL
250,150.0,97.359,1000.193,CL
251,150.2,97.366,1000.198,CL
252,150.4,97.373,1000.203,CL
253,150.6,97.38,1000.208,CL
254,150.8,97.387,1000.212,CL
255,151.0,97.395,1000.217,CL
256,151.2,97.402,1000.222,CL
257,151.4,97.41,1000.226,CL
258,151.6,97.418,1000.231,CL
259,151.8,97.426,1000.235,CL
260,152.0,97.434,1000.24,CL
261,152.2,97.44200000000001,1000.246,CL
262,152.4,97.451,1000.251,CL
263,152.6,97.459,1000.257,CL
264,152.8,97.467,1000.262,CL
265,153.0,97.476,1000.268,CL
266,153.2,97.484,1000.273,CL
267,153.4,97.493,1000.278,CL
268,153.6,97.501,1000.284,CL
269,153.8,97.51,1000.289,CL
270,154.0,97.518,1000.294,CL
271,154.2,97.527,1000.299,CL
272,154.4,97.535,1000.304,CL
273,154.6,97.543,1000.309,CL
274,154.8,97.551,1000.314,CL
275,155.0,97.559,1000.318,CL
276,155.2,97.56700000000001,1000.323,CL
277,155.4,97.575,1000.327,CL
278,155.6,97.582,1000.332,CL
279,155.8,97.59,1000.336,CL
