,X,Y,Z,Label
0,100,98.986,1000.173,CL
1,100.2,99.042,1000.176,CL
2,100.4,99.099,1000.178,CL
3,100.6,99.154,1000.181,CL
4,100.8,99.21,1000.183,CL
5,101,99.265,1000.185,CL
6,101.2,99.319,1000.128,CL
7,101.4,99.373,1000.125,CL
8,101.6,99.427,1000.122,CL
9,101.8,99.48,1000.118,CL
10,102,99.532,1000.115,CL
11,102.2,99.583,1000.111,CL
12,102.4,99.634,1000.107,CL
13,102.6,99.684,1000.104,CL
14,102.8,99.733,1000.1,CL
15,103,99.781,1000.098,CL
16,103.2,99.828,1000.097,CL
17,103.4,99.874,1000.097,CL
18,103.6,99.919,1000.096,CL
19,103.8,99.963,1000.095,CL
20,104,100.005,1000.094,CL
21,104.2,100.047,1000.092,CL
22,104.4,100.087,1000.091,CL
23,104.6,100.127,1000.089,CL
24,104.8,100.164,1000.088,CL
25,105,100.201,1000.086,CL
26,105.2,100.236,1000.048,CL
27,105.4,100.27,1000.044,CL
28,105.6,100.303,1000.04,CL
29,105.8,100.334,1000.035,CL
30,106,100.364,1000.031,CL
31,106.2,100.392,1000.027,CL
32,106.4,100.419,1000.022,CL
33,106.6,100.444,1000.018,CL
34,106.8,100.468,1000.013,CL
35,107,100.491,1000.009,CL
36,107.2,100.511,1000.004,CL
37,107.4,100.531,999.999,CL
38,107.6,100.548,999.995,CL
39,107.8,100.565,999.99,CL
40,108,100.579,999.985,CL
41,108.2,100.593,999.98,CL
42,108.4,100.604,999.975,CL
43,108.6,100.614,999.97,CL
44,108.8,100.623,999.965,CL
45,109,100.63,999.96,CL
46,109.2,100.635,999.955,CL
47,109.4,100.64,999.95,CL
48,109.6,100.642,999.944,CL
49,109.8,100.643,999.938,CL
50,110,100.643,999.933,CL
51,110.2,100.641,999.928,CL
52,110.4,100.637,999.922,CL
53,110.6,100.633,999.917,CL
54,110.8,100.627,999.911,CL
55,111,100.619,999.906,CL
56,111.2,100.61,999.901,CL
57,111.4,100.6,999.895,CL
